id_recinte,id_ua,capa_dwg,superficie_dwg,nom_dwg,assignat_per,estat,vist_a,nota,centre_x,centre_y,canvi
R0141,ESCARPIDERS,01 3 UA SUBLE,4298.6,Escarpiders,proposta,vigent,parcelles.json,,537670.27,25590.51,IGUAL
R0142,PRATS_DE_L_OBAC_3,01 3 UA SUBLE,9701.8,Prats de l'Obac 3,proposta,vigent,parcelles.json,,537677.86,26013.43,IGUAL
R0143,PEDRAL_DE_BAIX_1,01 1 UA SUC,9254.5,Pedral de Baix 1; Pedral de Baix 2,proposta,vigent,parcelles.json,,537685.33,26439.25,IGUAL
R0144,CASA_ARENY_3,01 1 UA SUC,4770.0,Casa Areny 3,proposta,vigent,parcelles.json,,537687.66,26223.23,IGUAL
R0145,CASA_ARENY_1,01 2 UA SUNC,19691.6,Casa Areny 1,proposta,vigent,parcelles.json,,537697.75,26300.9,IGUAL
R0146,PEDRAL_DE_DALT,01 1 UA SUC,6052.3,Pedral de Dalt,proposta,vigent,parcelles.json,,537729.69,26528.67,IGUAL
R0147,,01 3 UA SUBLE,2828.6,,,vigent,parcelles.json,,537736.96,25666.23,IGUAL
R0148,COPRINCEP_EPISCOPAL_3,01 2 UA SUNC,974.5,Copríncep Episcopal 2; Copríncep Episcopal 3,proposta,vigent,parcelles.json,,537744.49,26201.95,IGUAL
R0149,,01 1 UA SUC,974.5,Copríncep Episcopal 2; Copríncep Episcopal 3,,vigent,parcelles.json,,537744.49,26201.95,IGUAL
R0150,TERRA_DEL_SOLA,01 1 UA SUC,2418.3,Terra del Solà,proposta,vigent,parcelles.json,,537759.23,26571.47,IGUAL
R0151,TOSA_1,01 3 UA SUBLE,3344.8,Tosa 1,proposta,vigent,parcelles.json,,537762.75,27740.01,IGUAL
R0152,PEDRAL_DE_BAIX_2,01 1 UA SUC,4091.6,,proposta,vigent,parcelles.json,,537774.01,26451.78,IGUAL
R0153,CALCINERA_3,01 3 UA SUBLE,33164.6,Calcinera 3,proposta,vigent,parcelles.json,,537776.23,26140.45,IGUAL
R0154,CALCINERA_2,01 1 UA SUC,1630.1,Calcinera 2,proposta,vigent,parcelles.json,,537788.18,26084.38,IGUAL
R0155,ARTICS,01 3 UA SUBLE,32126.4,Artics,proposta,vigent,parcelles.json,,537792.66,26728.39,IGUAL
R0156,COPRINCEP_EPISCOPAL_2,01 1 UA SUC,233.0,,proposta,vigent,parcelles.json,,537796.31,26222.78,IGUAL
R0157,,01 1 UA SUC,233.0,,,vigent,parcelles.json,,537796.31,26222.78,IGUAL
